| Experiment               | Created   | chosen_hyperparameters.conv_layers   | chosen_hyperparameters.filters   | validation_accuracy   | test_accuracy   | data_split.test   | data_split.train   | data_split.val   | dataset_version   | random_seed   | testing.batch_size   | training.batch_size   | training.epochs   | training.kernel_size   | training.lr   | training.maxpool_kernel_size   | training.maxpool_stride   | training.tuning.conv_filters   | training.tuning.conv_layers   | dataset.pkl                      | model.pkl                        | test.pkl                         | train.pkl                        | val.pkl                          |
|--------------------------|-----------|--------------------------------------|----------------------------------|-----------------------|-----------------|-------------------|--------------------|------------------|-------------------|---------------|----------------------|-----------------------|-------------------|------------------------|---------------|--------------------------------|---------------------------|--------------------------------|-------------------------------|----------------------------------|----------------------------------|----------------------------------|----------------------------------|----------------------------------|
| workspace                | -         | 2                                    | 8                                | 0.53189               | 0.53322         | 0.15              | 0.7                | 0.15             | v1 v2 v3          | 110           | 32                   | 32                    | 5                 | 2                      | 0.001         | 2                              | 2                         | [2, 4, 8]                      | [1, 2, 3]                     | e41eae44b200ed8cbeb921cdffffb592 | 9e255e5f298d21c2a89a3164deadddae | 112c30448d7d221f231909ca52380c9a | ef3e48f5ae387ee9d30ff94547bbd163 | 0fe53f5c33d782e74b9725f06330fd90 |
| master                   | 04:47 PM  | -                                    | -                                | -                     | -               | -                 | -                  | -                | -                 | -             | -                    | -                     | -                 | -                      | -             | -                              | -                         | -                              | -                             | -                                | -                                | -                                | -                                | -                                |
| ├── 816a60a [handy-sumo] | 06:12 PM  | 2                                    | 8                                | 0.53189               | 0.53322         | 0.15              | 0.7                | 0.15             | v1 v2 v3          | 110           | 32                   | 32                    | 5                 | 2                      | 0.001         | 2                              | 2                         | [2, 4, 8]                      | [1, 2, 3]                     | e41eae44b200ed8cbeb921cdffffb592 | 9e255e5f298d21c2a89a3164deadddae | 112c30448d7d221f231909ca52380c9a | ef3e48f5ae387ee9d30ff94547bbd163 | 0fe53f5c33d782e74b9725f06330fd90 |
| ├── 3371b33 [color-soya] | 06:06 PM  | 1                                    | 8                                | 0.517                 | 0.50322         | 0.15              | 0.7                | 0.15             | v1 v2 v3          | 42            | 32                   | 32                    | 5                 | 2                      | 0.001         | 2                              | 2                         | [2, 4, 8]                      | [1, 2, 3]                     | e41eae44b200ed8cbeb921cdffffb592 | a9babb1fad0da7cd0f7e19403a106503 | 8c7b0d4f20f840bc1204c79addce7ca0 | 8ca43a521d0af5e7c5627ca27a6d85b7 | 36eb814a0f0efa581935181b4a85cbc7 |
| ├── 910435b [pique-keys] | 05:56 PM  | 2                                    | 8                                | 0.51411               | 0.523           | 0.15              | 0.7                | 0.15             | v1 v2 v3          | 5402          | 32                   | 32                    | 5                 | 2                      | 0.001         | 2                              | 2                         | [2, 4, 8]                      | [1, 2, 3]                     | e41eae44b200ed8cbeb921cdffffb592 | de664f84a1270f097c924745492c97a4 | ffe5323f5b0ca8c51bfb07607d4aff73 | 166f4ff6b12151e8e29e4f6d12deca9f | 6edb41138979d5a38404897be962ab76 |
| ├── 3bd17ec [curst-tart] | 05:47 PM  | 2                                    | 8                                | 0.51267               | 0.503           | 0.15              | 0.7                | 0.15             | v1 v2             | 110           | 32                   | 32                    | 5                 | 2                      | 0.001         | 2                              | 2                         | [2, 4, 8]                      | [1, 2, 3]                     | 57a8a4d11aebccd242f2416124dcf7e0 | bd6b2e1bd9da61a2bbb862929ccb76fc | 99c4bc831b1e05143b7fd441da5efdbb | 008d1426139a55ae70f170c3a80afb26 | 16b029ac03d3659713f657a4a336d44c |
| ├── 53de3bd [gusty-rick] | 05:38 PM  | 1                                    | 8                                | 0.50283               | 0.50883         | 0.15              | 0.7                | 0.15             | v1 v2             | 42            | 32                   | 32                    | 5                 | 2                      | 0.001         | 2                              | 2                         | [2, 4, 8]                      | [1, 2, 3]                     | 57a8a4d11aebccd242f2416124dcf7e0 | bd31752721136e6f08eb9141a0eb133a | 6a47826ea2413377e58f029e2988b1a5 | 5ce566b7a88d5c1d085c735625f1cc1b | 635f4463d4dae3191cb477aa1b279163 |
| ├── 9d70453 [telic-link] | 05:32 PM  | 1                                    | 8                                | 0.5145                | 0.50133         | 0.15              | 0.7                | 0.15             | v1 v2             | 5402          | 32                   | 32                    | 5                 | 2                      | 0.001         | 2                              | 2                         | [2, 4, 8]                      | [1, 2, 3]                     | 57a8a4d11aebccd242f2416124dcf7e0 | 9932e45bf877ea462b738468e0a8c98f | ca1116e3c761a763ef454b2f17d9effb | 6d22a4ddcc9a5976d95bdae709157e83 | 98a7d2b5a1021692ff19b704d513f1b4 |
| ├── 9020c5c [blame-vows] | 05:24 PM  | 2                                    | 8                                | 0.48733               | 0.47833         | 0.15              | 0.7                | 0.15             | v3                | 110           | 32                   | 32                    | 5                 | 2                      | 0.001         | 2                              | 2                         | [2, 4, 8]                      | [1, 2, 3]                     | bed783b2359f1ad1bebc74156dd92534 | 44c8143a0f6da50b5ce2538ce1109bf7 | 6fdbac885c97e6bc8125fdce9ab8046a | d155740d64f637e2bae890808bffd84c | 1e99a447fceeb4d50f6e7ccba4bb2c76 |
| ├── 13c7ec1 [adept-gyms] | 05:20 PM  | 1                                    | 8                                | 0.49367               | 0.46667         | 0.15              | 0.7                | 0.15             | v3                | 42            | 32                   | 32                    | 5                 | 2                      | 0.001         | 2                              | 2                         | [2, 4, 8]                      | [1, 2, 3]                     | bed783b2359f1ad1bebc74156dd92534 | 49d08d3b0ade96740614d678e0d58527 | b66cf887b6e3a6e12278b64a6280db01 | c93bec64561f76adafbbad334bf26a19 | c6228e95ee025155a137ccad6809da2d |
| ├── 8053265 [nitty-yank] | 05:16 PM  | 2                                    | 8                                | 0.48033               | 0.46867         | 0.15              | 0.7                | 0.15             | v3                | 5402          | 32                   | 32                    | 5                 | 2                      | 0.001         | 2                              | 2                         | [2, 4, 8]                      | [1, 2, 3]                     | 8be32a58a336f9ff253055ac1812825b | bf0bdb7c32bd29aac5adec7829b8066a | 3713d70bbb199e10c36681a3bfc65c7b | 4a52e095df118d1afc2d27b96ca7e541 | af70e6ea6567dade5f799431da4d40a4 |
